11:46:44 AM Monday, November 16, 2020  Reference Number: 000000000013, Amount Paid: 35 EGP, Transaction Result: FAILURE(-22)
12:58:39 PM Tuesday, November 17, 2020  Reference Number: 000000000041, Amount Paid: 30.6 EGP, Transaction Result: FAILURE(-22)
12:59:31 PM Tuesday, November 17, 2020  Reference Number: 000000000042, Amount Paid: 20.4 EGP, Transaction Result: FAILURE(-22)
12:59:59 PM Tuesday, November 17, 2020  Reference Number: 000000000043, Amount Paid: 30.6 EGP, Transaction Result: FAILURE(-22)
1:00:42 PM Tuesday, November 17, 2020  Reference Number: 000000000044, Amount Paid: 30.6 EGP, Transaction Result: FAILURE(-22)
1:01:51 PM Tuesday, November 17, 2020  Reference Number: 000000000045, Amount Paid: 20.4 EGP, Transaction Result: FAILURE(-22)
1:02:33 PM Tuesday, November 17, 2020  Reference Number: 000000000046, Amount Paid: 20.4 EGP, Transaction Result: FAILURE(-22)
1:04:10 PM Tuesday, November 17, 2020  Reference Number: 000000000047, Amount Paid: 30.6 EGP, Transaction Result: FAILURE(-22)
1:05:56 PM Tuesday, November 17, 2020  Reference Number: 000000000048, Amount Paid: 35.9 EGP, Transaction Result: FAILURE(-22)
1:06:21 PM Tuesday, November 17, 2020  Reference Number: 000000000049, Amount Paid: 77.5 EGP, Transaction Result: FAILURE(-22)
1:06:48 PM Tuesday, November 17, 2020  Reference Number: 000000000050, Amount Paid: 62 EGP, Transaction Result: FAILURE(-22)
1:10:20 PM Tuesday, November 17, 2020  Reference Number: 000000000051, Amount Paid: 46.5 EGP, Transaction Result: FAILURE(-22)
1:11:01 PM Tuesday, November 17, 2020  Reference Number: 000000000052, Amount Paid: 46.5 EGP, Transaction Result: FAILURE(-22)
1:11:34 PM Tuesday, November 17, 2020  Reference Number: 000000000053, Amount Paid: 46.5 EGP, Transaction Result: FAILURE(-22)
1:13:36 PM Tuesday, November 17, 2020  Reference Number: 000000000054, Amount Paid: 46.5 EGP, Transaction Result: FAILURE(-22)
1:14:01 PM Tuesday, November 17, 2020  Reference Number: 000000000055, Amount Paid: 62 EGP, Transaction Result: FAILURE(-22)
1:17:24 PM Tuesday, November 17, 2020  Reference Number: 000000000056, Amount Paid: 56.7 EGP, Transaction Result: FAILURE(-22)
1:20:26 PM Tuesday, November 17, 2020  Reference Number: 000000000057, Amount Paid: 35.9 EGP, Transaction Result: FAILURE(-22)
1:20:58 PM Tuesday, November 17, 2020  Reference Number: 000000000058, Amount Paid: 139.1 EGP, Transaction Result: FAILURE(-22)
1:21:10 PM Tuesday, November 17, 2020  Reference Number: 000000000059, Amount Paid: 51 EGP, Transaction Result: FAILURE(-22)
1:21:44 PM Tuesday, November 17, 2020  Reference Number: 000000000060, Amount Paid: 108.1 EGP, Transaction Result: FAILURE(-22)
1:32:56 PM Tuesday, November 17, 2020  Reference Number: 000000000061, Amount Paid: 30.6 EGP, Transaction Result: FAILURE(-22)
1:33:37 PM Tuesday, November 17, 2020  Reference Number: 000000000062, Amount Paid: 20.4 EGP, Transaction Result: FAILURE(-22)
1:35:10 PM Tuesday, November 17, 2020  Reference Number: 000000000063, Amount Paid: 30.6 EGP, Transaction Result: FAILURE(-22)
1:36:09 PM Tuesday, November 17, 2020  Reference Number: 000000000064, Amount Paid: 35.9 EGP, Transaction Result: FAILURE(-22)
1:37:45 PM Tuesday, November 17, 2020  Reference Number: 000000000065, Amount Paid: 41.2 EGP, Transaction Result: FAILURE(-22)
1:39:03 PM Tuesday, November 17, 2020  Reference Number: 000000000066, Amount Paid: 30.6 EGP, Transaction Result: FAILURE(-22)
1:45:36 PM Tuesday, November 17, 2020  Reference Number: 000000000067, Amount Paid: 72.2 EGP, Transaction Result: FAILURE(-22)
1:46:23 PM Tuesday, November 17, 2020  Reference Number: 000000000068, Amount Paid: 40.8 EGP, Transaction Result: FAILURE(-22)
1:46:44 PM Tuesday, November 17, 2020  Reference Number: 000000000069, Amount Paid: 81.6 EGP, Transaction Result: FAILURE(-22)
1:47:34 PM Tuesday, November 17, 2020  Reference Number: 000000000070, Amount Paid: 95.5 EGP, Transaction Result: FAILURE(-22)
1:53:28 PM Tuesday, November 17, 2020  Reference Number: 000000000071, Amount Paid: 52.5 EGP, Transaction Result: FAILURE(-22)
3:14:55 PM      Tuesday, November 17, 2020      Reference Number: 000000000072, Amount Paid: 30.5 EGP, Transaction Result: FAILURE(-22)
3:15:53 PM   Tuesday, November 17, 2020     Reference Number: 000000000073, Amount Paid: 30.5 EGP, Transaction Result: FAILURE(-22)
10:26:14 AM  Thursday, November 19, 2020    Reference Number: 000000000074, Amount Paid: 43.5 EGP, Transaction Result: FAILURE(-22)
10:26:34 AM  Thursday, November 19, 2020    Reference Number: 000000000075, Amount Paid: 30.5 EGP, Transaction Result: FAILURE(-22)
10:34:11 AM  Thursday, November 19, 2020    Reference Number: 000000000076, Amount Paid: 39 EGP, Transaction Result: FAILURE(-22)
10:35:43 AM  Thursday, November 19, 2020    Reference Number: 000000000077, Amount Paid: 26 EGP, Transaction Result: FAILURE(-22)
10:37:06 AM  Thursday, November 19, 2020    Reference Number: 000000000078, Amount Paid: 26 EGP, Transaction Result: FAILURE(-22)
10:37:20 AM  Thursday, November 19, 2020    Reference Number: 000000000079, Amount Paid: 26 EGP, Transaction Result: FAILURE(-22)
10:37:45 AM  Thursday, November 19, 2020    Reference Number: 000000000080, Amount Paid: 39 EGP, Transaction Result: FAILURE(-22)
10:38:24 AM  Thursday, November 19, 2020    Reference Number: 000000000081, Amount Paid: 26 EGP, Transaction Result: FAILURE(-22)
10:38:47 AM  Thursday, November 19, 2020    Reference Number: 000000000082, Amount Paid: 26 EGP, Transaction Result: FAILURE(-22)
10:39:00 AM  Thursday, November 19, 2020    Reference Number: 000000000083, Amount Paid: 26 EGP, Transaction Result: FAILURE(-22)
10:42:01 AM  Thursday, November 19, 2020    Reference Number: 000000000084, Amount Paid: 26 EGP, Transaction Result: FAILURE(-22)
10:42:21 AM  Thursday, November 19, 2020    Reference Number: 000000000085, Amount Paid: 26 EGP, Transaction Result: FAILURE(-22)
10:43:29 AM  Thursday, November 19, 2020    Reference Number: 000000000086, Amount Paid: 26 EGP, Transaction Result: FAILURE(-22)
10:43:45 AM  Thursday, November 19, 2020    Reference Number: 000000000087, Amount Paid: 26 EGP, Transaction Result: FAILURE(-22)
10:45:25 AM  Thursday, November 19, 2020    Reference Number: 000000000088, Amount Paid: 26 EGP, Transaction Result: FAILURE(-22)
10:46:23 AM  Thursday, November 19, 2020    Reference Number: 000000000089, Amount Paid: 26 EGP, Transaction Result: FAILURE(-22)
10:46:42 AM  Thursday, November 19, 2020    Reference Number: 000000000090, Amount Paid: 26 EGP, Transaction Result: FAILURE(-22)
10:47:51 AM  Thursday, November 19, 2020    Reference Number: 000000000091, Amount Paid: 30.5 EGP, Transaction Result: FAILURE(-22)
10:49:26 AM  Thursday, November 19, 2020    Reference Number: 000000000092, Amount Paid: 48 EGP, Transaction Result: FAILURE(-22)
11:36:17 AM  Thursday, November 19, 2020    Reference Number: 000000000093, Amount Paid: 30.5 EGP, Transaction Result: FAILURE(-22)
11:37:31 AM  Thursday, November 19, 2020    Reference Number: 000000000094, Amount Paid: 140 EGP, Transaction Result: FAILURE(-22)
11:38:09 AM  Thursday, November 19, 2020    Reference Number: 000000000095, Amount Paid: 35.1 EGP, Transaction Result: FAILURE(-22)
1:44:44 PM   Thursday, November 19, 2020    Reference Number: 000000000096, Amount Paid: 30.55 EGP, Transaction Result: FAILURE(-22)
1:45:10 PM   Thursday, November 19, 2020    Reference Number: 000000000097, Amount Paid: 30.55 EGP, Transaction Result: FAILURE(-22)
3:07:10 PM   Thursday, November 19, 2020    Reference Number: 000000000098, Amount Paid: 69.55 EGP, Transaction Result: FAILURE(-22)
3:11:55 PM   Thursday, November 19, 2020    Reference Number: 000000000099, Amount Paid: 96.2 EGP, Transaction Result: FAILURE(-22)
3:13:44 PM   Thursday, November 19, 2020    Reference Number: 000000000100, Amount Paid: 13 EGP, Transaction Result: FAILURE(-22)
3:16:43 PM   Thursday, November 19, 2020    Reference Number: 000000000101, Amount Paid: 39 EGP, Transaction Result: FAILURE(-22)
3:16:56 PM   Thursday, November 19, 2020    Reference Number: 000000000102, Amount Paid: 39 EGP, Transaction Result: FAILURE(-22)
3:17:59 PM   Thursday, November 19, 2020    Reference Number: 000000000103, Amount Paid: 26 EGP, Transaction Result: FAILURE(-22)
3:18:09 PM   Thursday, November 19, 2020    Reference Number: 000000000104, Amount Paid: 26 EGP, Transaction Result: FAILURE(-22)
5:30:32 PM   Thursday, November 19, 2020    Reference Number: 000000000105, Amount Paid: 35 EGP, Transaction Result: FAILURE(-22)
5:33:41 PM   Thursday, November 19, 2020    Reference Number: 000000000106, Amount Paid: 35 EGP, Transaction Result: FAILURE(-22)
5:54:20 PM   Thursday, November 19, 2020    Reference Number: 000000000107, Amount Paid: 39 EGP, Transaction Result: FAILURE(-22)
5:55:05 PM   Thursday, November 19, 2020    Reference Number: 000000000108, Amount Paid: 26 EGP, Transaction Result: FAILURE(-22)
5:22:50 AM   Monday, November 23, 2020      Reference Number: 000000000109, Amount Paid: 61 EGP, Transaction Result: FAILURE(-22)
10:25:42 AM  Wednesday, December 9, 2020    Reference Number: 000000000110, Amount Paid: 43 EGP, Transaction Result: FAILURE(-22)
10:26:27 AM  Wednesday, December 9, 2020    Reference Number: 000000000111, Amount Paid: 61 EGP, Transaction Result: FAILURE(-22)
10:26:54 AM  Wednesday, December 9, 2020    Reference Number: 000000000112, Amount Paid: 75 EGP, Transaction Result: FAILURE(-22)
10:28:59 AM  Wednesday, December 9, 2020    Reference Number: 000000000113, Amount Paid: 36 EGP, Transaction Result: FAILURE(-22)
10:30:14 AM  Wednesday, December 9, 2020    Reference Number: 000000000114, Amount Paid: 97 EGP, Transaction Result: FAILURE(-22)
10:31:27 AM  Wednesday, December 9, 2020    Reference Number: 000000000115, Amount Paid: 18 EGP, Transaction Result: FAILURE(-22)
10:32:45 AM  Wednesday, December 9, 2020    Reference Number: 000000000116, Amount Paid: 36 EGP, Transaction Result: FAILURE(-22)
10:32:58 AM  Wednesday, December 9, 2020    Reference Number: 000000000117, Amount Paid: 36 EGP, Transaction Result: FAILURE(-22)
10:33:52 AM  Wednesday, December 9, 2020    Reference Number: 000000000118, Amount Paid: 18 EGP, Transaction Result: FAILURE(-22)
10:34:30 AM  Wednesday, December 9, 2020    Reference Number: 000000000119, Amount Paid: 36 EGP, Transaction Result: FAILURE(-22)
10:35:17 AM  Wednesday, December 9, 2020    Reference Number: 000000000120, Amount Paid: 36 EGP, Transaction Result: FAILURE(-22)
10:38:27 AM  Wednesday, December 9, 2020    Reference Number: 000000000121, Amount Paid: 43 EGP, Transaction Result: FAILURE(-22)
10:41:46 AM  Wednesday, December 9, 2020    Reference Number: 000000000122, Amount Paid: 43 EGP, Transaction Result: FAILURE(-22)
10:44:35 AM  Wednesday, December 9, 2020    Reference Number: 000000000123, Amount Paid: 86 EGP, Transaction Result: FAILURE(-22)
10:46:26 AM  Wednesday, December 9, 2020    Reference Number: 000000000124, Amount Paid: 53.523 EGP, Transaction Result: FAILURE(-22)
1:00:21 PM   Wednesday, December 9, 2020    Reference Number: 000000000125, Amount Paid: 37.533 EGP, Transaction Result: FAILURE(-22)
3:27:10 PM   Thursday, December 10, 2020    Reference Number: 000000000126, Amount Paid: 75.066 EGP, Transaction Result: FAILURE(-22)
3:28:32 PM   Thursday, December 10, 2020    Reference Number: 000000000127, Amount Paid: 53.523 EGP, Transaction Result: FAILURE(-22)
9:22:26 PM   Wednesday, December 16, 2020   Reference Number: 000000000128, Amount Paid: 37.533 EGP, Transaction Result: FAILURE(-22)
9:22:56 PM   Wednesday, December 16, 2020   Reference Number: 000000000129, Amount Paid: 37.533 EGP, Transaction Result: FAILURE(-22)
9:23:14 PM   Wednesday, December 16, 2020   Reference Number: 000000000130, Amount Paid: 47.97 EGP, Transaction Result: FAILURE(-22)
9:25:45 PM   Wednesday, December 16, 2020   Reference Number: 000000000131, Amount Paid: 37.533 EGP, Transaction Result: FAILURE(-22)
9:27:11 PM   Wednesday, December 16, 2020   Reference Number: 000000000132, Amount Paid: 63.96 EGP, Transaction Result: FAILURE(-22)
9:30:23 PM   Wednesday, December 16, 2020   Reference Number: 000000000133, Amount Paid: 31.98 EGP, Transaction Result: FAILURE(-22)
9:36:11 PM   Wednesday, December 16, 2020   Reference Number: 000000000134, Amount Paid: 75.066 EGP, Transaction Result: FAILURE(-22)
